depth_code_sub,mae,mape,rmse
A12,8439803.717142202,9.968373514874914,16026392.508851495
A01,17135241.723480936,7.872917920366588,39577636.28339274
A01,17135241.723480936,7.872917920366588,39577636.28339274
A04,14556552.594300086,8.471541237919064,55119010.733647496
C01,15206946.205689562,25.159041892706828,48177173.21114724
B01,43250416.44610592,9.113866151738877,103840817.83624771
A01,17135241.723480936,7.872917920366588,39577636.28339274
B14,4183289.881741741,4.051986814950038,9089549.384574102
B19,22896782.04130286,4.5933796429733595,40923534.34803592
B08,11298430.139956843,30.13177211067768,33181992.457635682
B02,4689666.416949596,71.06173546507907,9930341.136434384
A14,4996138.657912432,9.421732389776148,8007689.093933594
B13,10434312.480256852,251.7820683480697,21720443.312129065
A03,9081737.408108473,11.747641556662476,14511096.586673796
C07,21096700.169681866,17.55599479431537,47165795.22691527
A08,5701866.351884444,5.449495593048422,7984266.148886677
A02,7127096.664855759,2.2913714280227917,12164069.496087305
A06,9114776.024431333,7.654717264896872,16175323.75103363
B10,8690975.883119663,38.020212782411896,24342002.072851557
B15,4592206.312959649,11.801070816701005,6382735.699631065
B05,11531557.08386856,15.741376360369575,29405029.671334397
C04,19289347.463123016,17.122631811456397,53578704.51408528
B06,11166873.222838638,3.408970186111948,21687488.49962759
A01,17135241.723480936,7.872917920366588,39577636.28339274
B03,6528843.4554624595,4.079297842510055,17708521.552777763
B18,4601864.811665707,21.05938013039493,6649320.216110183
C05,81735043.15297808,7.15323348638423,152131429.99743164
B22,5558303.816813058,36.47116555076731,9028941.43577522
B21,3107381.954905782,1113.842519776824,6882871.116085449
A11,12620042.25181413,3.60806549614332,21778366.26448953
A05,11698347.909237573,2.320766419689281,16727567.36951762
B09,14937773.095075063,23.32655755511718,22254593.668415494
A15,4624105.917559856,4.284302973757097,6146644.117120215
A07,4306402.227445733,1.4443972432236205,6402472.4883235665
A10,9065184.3335294,1.4940945621788588,12978877.865553964
C06,13814996.046890821,12.225933449692443,28240061.601531506
B12,6110717.616885542,1364.5980478634883,11819885.108395897
B17,6111171.008720846,2.934407404905979,24099290.21601547
B16,6205268.1805771245,3.4824328832962723,10815263.925539955
A13,10012446.048985707,3.378147439707258,13481542.43099353
C02,1355341.3118275246,0.28822417710014325,1538208.2647515885
A09,14126997.968560893,1.7290520006983123,18471203.953565825
B04,6745694.56968144,0.9137838060370603,10349943.328689082
B20,4077048.324399649,62.19217828635023,4634558.485070656
